帖子编号,公共主页编号,公共主页名称,标题,描述,时长（秒）,发布时间,字幕类型,固定链接,交叉发布,分享帖,帖子类型,语言,自定义标签,赞助内容状态,数据注释,日期,观看量,覆盖人数,心情、评论和分享,心情,评论数,分享次数,总点击量,其他点击量,"符合受众定位用户的点击量（Photo Click）",链接点击量,"符合受众定位用户的点击量（Video Click）",观看时长（秒）,平均观看时长（秒）,"收入估值 （美元）","广告千次展示收益 （美元）",广告展示次数
1003100979164578,100083940562505,DivebluesOfficial,"We went out for a street interview and got an unexpected guest star. 

 Rate the cat's fan energy from 1 to 10.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","We went out for a street interview and got an unexpected guest star. 

 Rate the cat's fan energy from 1 to 10.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",38,"07/07/2026 18:30",auto,https://www.facebook.com/reel/1982809975684607/,0,0,视频,,,,,内容创建至今,606,569,6,6,0,0,36,5,,30,1,2647.432,4.702,0,0,0
1002234612584548,100083940562505,DivebluesOfficial,"The best part of taking the interview to the street is seeing how much personality shows up before anyone even answers. Every photo has its own little game-day mood.

Pick the photo that feels most alive.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"07/06/2026 19:31",N/A,https://www.facebook.com/Diveblues/posts/pfbid06oQey2NVZZKcSme1t2pEbTwXjs9WTAoz8T4gvuJ8DA3HaCCeinYj45esCYD95niRl,0,0,照片,,,,,内容创建至今,24,16,1,1,0,0,0,,,,,,,,,
999770782830931,100083940562505,DivebluesOfficial,"Some of the best street interview moments happen between the questions. A look, a laugh, a pause before the answer, and suddenly the whole game-day mood is in one photo.

 Pick the frame with the most fan energy.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"07/03/2026 22:59",N/A,https://www.facebook.com/Diveblues/posts/pfbid0t8rrkf8Bv9U237ze2s8xfwJuHadrAQgPMUUwDUTrrgEdYSq9myCQGoBpWX4Kss32l,0,0,照片,,,,,内容创建至今,24,14,1,1,0,0,0,,,,,,,,,
997849519689724,100083940562505,DivebluesOfficial,"We took the fan check to the street: quick questions, real reactions, and just enough pressure to find out who actually knows the game.

The best part? Everyone answered like they had a trophy on the line.

How many questions would you get right?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","We took the fan check to the street: quick questions, real reactions, and just enough pressure to find out who actually knows the game.

The best part? Everyone answered like they had a trophy on the line.

How many questions would you get right?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",38,"07/01/2026 18:37",auto,https://www.facebook.com/reel/913046365158254/,0,0,视频,,,,,内容创建至今,357,331,2,2,0,0,0,,,,,2185.555,6.643,0,0,0
996983006443042,100083940562505,DivebluesOfficial,"Some fans jump. Some fans scream. Some fans turn the sidewalk into a whole celebration scene.
And then there is the one person staying cool in both meanings of the word: looking sharp and surviving the outdoor heat.

Who is the coolest fan in your crew?

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","Some fans jump. Some fans scream. Some fans turn the sidewalk into a whole celebration scene.
And then there is the one person staying cool in both meanings of the word: looking sharp and surviving the outdoor heat.

Who is the coolest fan in your crew?

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",14,"06/30/2026 18:25",auto,https://www.facebook.com/reel/862262633214811/,0,0,视频,,,,,内容创建至今,296,269,1,1,0,0,0,,,,,1001.935,3.591,0,0,0
996175013190508,100083940562505,DivebluesOfficial,"This one has history written all over it, but we are keeping the popcorn close.

Ronaldo and Modric: former teammates, forever rivals, two legends who have been annoying defenders since half the internet was still using flip phones. Now Portugal and Croatia meet with one more spot on the line, and only one old dance partner gets to keep moving.

 Pick your side: Portugal or Croatia?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/29/2026 19:22",N/A,https://www.facebook.com/Diveblues/posts/pfbid0jvNoaRDVSb2opgsv3T4B6NQb13Gyzu3Ufw6dskMYBmTF8aCBMgXPfi5U9pE6MApXl,0,0,照片,,,,,内容创建至今,32,21,1,1,0,0,0,,,,,,,,,
995317406609602,100083940562505,DivebluesOfficial,"Some street interview moments feel like they belong in a style album. Sharp fits, real reactions, and the kind of soccer-season energy that looks good even between questions.

Pick your favorite photo from the set.

#Diveblues #PortableFan #crazyfan #StreetStyle #GameDay",,0,"06/28/2026 19:48",N/A,https://www.facebook.com/Diveblues/posts/pfbid033yovayyn18vdATMSE5AXpKef7EEiF1MTSekLMC9j1RUy7KYDFimPrSi8hARkntzSl,0,0,照片,,,,,内容创建至今,31,22,1,1,0,0,0,,,,,,,,,
995316839942992,100083940562505,DivebluesOfficial,"We met a young fan on the street and expected a few cute guesses. Instead, he nearly got everything right.
Tiny size. Serious soccer knowledge. Full game-day confidence.

How many questions do you think you would get right?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","We met a young fan on the street and expected a few cute guesses. Instead, he nearly got everything right.
Tiny size. Serious soccer knowledge. Full game-day confidence.

How many questions do you think you would get right?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",36,"06/28/2026 19:47",auto,https://www.facebook.com/reel/995270940146323/,0,0,视频,,,,,内容创建至今,1135,917,30,25,2,3,126,7,,116,3,8447.529,8.772,0,0,0
994585763349433,100083940562505,DivebluesOfficial,"Cabo Verde was the team people started talking about.
Now it is the place worth finding on the map.

Ten islands in the Atlantic. Blue water, volcanic views, music, color, sea air, and one summer detour we cannot stop thinking about.

Would you add Cabo Verde to your summer travel list?

#Diveblues #PortableFan #CaboVerde #TravelInspo #GameDay",,0,"06/27/2026 22:31",N/A,https://www.facebook.com/Diveblues/posts/pfbid02QF8VoKLUYmtdXYnj1xLhoEGbUbd26uf7CzJ3zxWrDHS6koWt1AGBcbHXwfQaWwT1l,0,0,照片,,,,,内容创建至今,32,24,1,1,0,0,0,,,,,,,,,
993758183432191,100083940562505,DivebluesOfficial,"Argentina fans on a road trip feels like a group chat that learned how to drive.
Flags packed. Snacks packed.

Who is the funniest person in your game-day car?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/26/2026 22:27",N/A,https://www.facebook.com/Diveblues/posts/pfbid07hq3H51DLiWXs2GpyPK14WSd24KEcdAiQZVeu3GhQLbqdCp1t5WEJqAFhTSRcjdDl,0,0,照片,,,,,内容创建至今,28,21,1,1,0,0,0,,,,,,,,,
993756606765682,100083940562505,DivebluesOfficial,"#CRAZYFAN GIVEAWAY IS ON.

Game-day energy. Team colors. A breeze in your hand. 🌬
Think you‘ve got tomorrow’s matchups called? 
🏆 Pick the winner from any ONE of our matchups for your shot at a free Diveblues fan:

Panama vs. England
Croatia vs. Ghana
Colombia vs. Portugal
Congo vs. Uzbekistan
Algeria vs. Austria
Jordan vs. Argentina

HOW TO PLAY 🎯
1️⃣ Follow us, Like this post and Comment your pick before comments close pre-kickoff
2️⃣ Use the full country name or an accepted abbreviation
3️⃣ Only correct eligible picks enter the free-fan draw
4️⃣ Emoji-only, unclear, duplicate, misspelled, unrelated, or late picks won‘t count

📸 BONUS — UGC PATH
Got game-day content? Share your #Crazyfan moment — DM us Diveblues or post it on your account and tag Diveblues.
Product cameos welcome — no purchase needed to enter!

🎁 THE PRIZES
Diveblues D6036 fans, double-fan sets & flight reimbursements (up to $200) — full breakdown in the Official Rules.

Comments close before kickoff. Results will be announced after match ended.

Ready? Make your call in the comments 👇

📜 Official Rules in the bio
This promotion is in no way sponsored, endorsed or administered by, or associated with, Instagram, Facebook and TikTok.

#Diveblues #CrazyFan #PortableFan GameDay giveaway",,0,"06/26/2026 22:25",N/A,https://www.facebook.com/Diveblues/posts/pfbid0EU7TkHemtHkBwd6ESwYoV2Wtn9pLeKMEJm84bMb2Y2h9ez8oKdhAHW7j9pD8qZURl,0,0,照片,,,,,内容创建至今,90,58,6,4,1,1,6,6,,,,,,,,
992791793528830,100083940562505,DivebluesOfficial,"Game-day energy hits different in the plaza: fans everywhere, screens on, voices getting louder, and the kind of summer heat you feel through the video.

Good thing the vibe came with a little breeze.

Would you watch the match from a packed outdoor plaza?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","Game-day energy hits different in the plaza: fans everywhere, screens on, voices getting louder, and the kind of summer heat you feel through the video.

Good thing the vibe came with a little breeze.

Would you watch the match from a packed outdoor plaza?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",37,"06/25/2026 18:30",auto,https://www.facebook.com/reel/1543643284223195/,0,0,视频,,,,,内容创建至今,197,182,1,1,0,0,0,,,,,1032.211,5.702,0,0,0
991952740279402,100083940562505,DivebluesOfficial,"There are moments in soccer that feel bigger than the score. Vozinha's story is one of them: a goalkeeper, a small island nation, and a performance that made the world stop and look.

As Cape Verde heads into its final group match with a chance still alive, this image is not just about a save. It is about being seen.

Name an ordinary hero who deserves a bigger spotlight.

#Diveblues #PortableFan #CapeVerde #UnderdogStory #GameDay",,0,"06/24/2026 18:36",N/A,https://www.facebook.com/Diveblues/posts/pfbid0qtnqqHEcEAyugy1edoPmGpidrPjcA1MMi4SZuY1ebT8nEy2yACaPfUBJWmPvp3PXl,0,0,照片,,,,,内容创建至今,31,24,2,2,0,0,0,,,,,,,,,
991946306946712,100083940562505,DivebluesOfficial,"This time, the street interview was all about the scoreline. We asked Mexico fans, and he didnot hold back on the confidence.

Drop your guess in the comments.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","This time, the street interview was all about the scoreline. We asked Mexico fans, and he didnot hold back on the confidence.

Drop your guess in the comments.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",28,"06/24/2026 18:25",auto,https://www.facebook.com/reel/1671242293957880/,0,0,视频,,,,,内容创建至今,463,416,2,2,0,0,0,,,,,4273.556,10.372,0,0,0
991138797027463,100083940562505,DivebluesOfficial,"Some moments from the street interview were too good to leave in the camera roll. Big smiles, quick reactions, also Colombia and Portugal fans making the whole soccer season feel more alive.

Which photo has the best game-day energy?

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/23/2026 18:41",N/A,https://www.facebook.com/Diveblues/posts/pfbid02mJY35xHuRxq2DZY1ngvwWrWJPjagRZUrhq1RGdR9TgywoC8gdGF7abH1YxMMTpAFl,0,0,照片,,,,,内容创建至今,39,26,1,1,0,0,0,,,,,,,,,
990304070444269,100083940562505,DivebluesOfficial,"We turned game-day energy into a playful AI sticker world: bold colors, funny reactions, tiny fan moments, and the kind of chaos that makes soccer season feel even louder.

Tell us which sticker should become real merch.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","We turned game-day energy into a playful AI sticker world: bold colors, funny reactions, tiny fan moments, and the kind of chaos that makes soccer season feel even louder.

Tell us which sticker should become real merch.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",13,"06/22/2026 18:25",N/A,https://www.facebook.com/reel/1039239945205281/,0,0,视频,,,,,内容创建至今,235,215,2,2,0,0,0,,,,,583.972,2.741,0,0,0
989904140484262,100083940562505,DivebluesOfficial,"It’s Prime Day!!!
Come visiting us on Amz, link in bio 🔗 #primeday #diveblues #portablefan #crazyfan",,0,"06/22/2026 06:54",N/A,https://www.facebook.com/Diveblues/posts/pfbid02hLYEu8pYHaCkenNho4gxCeT3ccamtBEkF9sqrhVn2Jn5EmYtPhqkWx4ecbyxVFYdl,0,0,照片,,,,,内容创建至今,31,23,2,2,0,0,0,,,,,,,,,
989547573853252,100083940562505,DivebluesOfficial,"Some photos do not need much explaining: fans in the stands, match-day colors everywhere, and that feeling of being right where the energy is happening.

Who would you bring to a game like this?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/21/2026 20:49",N/A,https://www.facebook.com/Diveblues/posts/pfbid0MzJCfk4dntdwBaMJYVixib8PHdw6A1Sk92YazQbd6zZCiHiUXrUKSC6DnA5f3Rz3l,0,0,照片,,,,,内容创建至今,38,26,3,1,2,0,2,2,,,,,,,,
989489547192388,100083940562505,DivebluesOfficial,"Who gonna win the world cup？

Say your team with your whole chest.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","Who gonna win the world cup？

Say your team with your whole chest.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",27,"06/21/2026 19:09",auto,https://www.facebook.com/reel/877611261452238/,0,0,视频,,,,,内容创建至今,247,230,1,1,0,0,0,,,,,1628.311,7.11,0,0,0
989479497193393,100083940562505,DivebluesOfficial,"Game day feels different with Dad in the picture. Here's to the ones who bring the snacks, the stories, the lucky shirt, and the loudest cheer in the room.
Tag a dad who never misses a match.
#Diveblues #PortableFan #crazyfan #GameDay #FathersDay",,0,"06/21/2026 18:53",N/A,https://www.facebook.com/Diveblues/posts/pfbid0yX6JC5ur8CaCH5AwztwN4aHps5YPmqUqhFyHq9mPBPXVNoQfzgUGAC5GmuXy9i9Ml,0,0,照片,,,,,内容创建至今,207,49,12,11,0,1,0,,,,,,,,,
987060510768625,100083940562505,DivebluesOfficial,"It’s time… No Gun. Just Fan.  #diveblues #crazyfan #usa #aus",,0,"06/18/2026 20:43",N/A,https://www.facebook.com/Diveblues/posts/pfbid0qcr3wh3Wgj4rXJy6T7LtFBPSDBtq49YYAfPsBnwJbmRXHBEcJ2bsV8QabuuesuCul,0,0,照片,,,,,内容创建至今,43,28,0,0,0,0,1,,1,,,,,,,
986166467524696,100083940562505,DivebluesOfficial,"Before kickoff, we ran into Panama supporters on the street, and they brought the kind of joy that makes game day feel bigger than the match.

Which fan moment should we ask about next?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","Before kickoff, we ran into Panama supporters on the street, and they brought the kind of joy that makes game day feel bigger than the match.

Which fan moment should we ask about next?

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",61,"06/17/2026 18:10",auto,https://www.facebook.com/reel/1332735061524224/,0,0,视频,,,,,内容创建至今,1737,1360,60,58,0,2,198,14,,180,4,11124.787,7.117,0,0,0
985703674237642,100083940562505,DivebluesOfficial,"Arms Crossed 🤞 Heat Handled  #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/17/2026 05:24",N/A,https://www.facebook.com/Diveblues/posts/pfbid0bD4VuSRC2zZoCmbAW23pqqaHxaFKbAiSTUAwCgujgupPa9EHnkSApiXRCUskeDG9l,0,0,照片,,,,,内容创建至今,57,31,0,0,0,0,0,,,,,,,,,
985374507603892,100083940562505,DivebluesOfficial,"POV: everyone in line is dying of heat 🥵

You pull out your Cold Air.
Fine mist + cold airflow hits your face.

instant 😮‍💨

the person next to you: ""wait… what is that?!""

be that person this summer 🧊

#SummerEssentials #Diveblues #crazyfan #staycool #summerhacks",,0,"06/16/2026 19:52",N/A,https://www.facebook.com/Diveblues/posts/pfbid02oyPuuLWKrtRUUrHLQgQTMjX6xg4nheTZ8WQxtjBHDJNEEiDqUjr31U6z6pqCSK7zl,0,0,照片,,,,,内容创建至今,40,30,1,1,0,0,0,,,,,,,,,
985327454275264,100083940562505,DivebluesOfficial,"No scripts, no second takes. Just street-side soccer talk, quick picks, and fans saying exactly what came to mind first.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","No scripts, no second takes. Just street-side soccer talk, quick picks, and fans saying exactly what came to mind first.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",54,"06/16/2026 18:28",auto,https://www.facebook.com/reel/1640231357054961/,0,0,视频,,,,,内容创建至今,254,249,1,1,0,0,0,,,,,1657.547,6.906,0,0,0
984483504359659,100083940562505,DivebluesOfficial,"We took our street interview to the fans and asked a few big soccer-season questions. Some answers were sharp, some were chaotic, and every reaction felt real.
How many would you answer correctly?
#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","We took our street interview to the fans and asked a few big soccer-season questions. Some answers were sharp, some were chaotic, and every reaction felt real.
How many would you answer correctly?
#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",29,"06/15/2026 18:20",N/A,https://www.facebook.com/reel/1608587201269570/,0,0,视频,,,,,内容创建至今,618,556,3,3,0,0,0,,,,,4117.337,7.527,0,0,0
983900777751265,100083940562505,DivebluesOfficial,"The Wcup has already been underway for a while.
Are you sure you're ready? Our event is about to start!

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/15/2026 01:45",N/A,https://www.facebook.com/Diveblues/posts/pfbid0umKvsxyExZrtdsvxv2HvwTpmbZs9tE1iy4ZASi3ncqtb8sGXCxobGh6rEBHnen9Ul,0,0,照片,,,,,内容创建至今,31,21,0,0,0,0,0,,,,,,,,,
979425381532138,100083940562505,DivebluesOfficial,"Game day essentials ☀⚽️🌎🏆✨

One of those random things I didn’t think I’d use this much, but now it stays in my purse. 

Capture by Salondrav

#portablefan #crazyfan #diveblues #worldcup #gamedayessentials","Game day essentials ☀⚽️🌎🏆✨

One of those random things I didn’t think I’d use this much, but now it stays in my purse. 

Capture by Salondrav

#portablefan #crazyfan #diveblues #worldcup #gamedayessentials",37,"06/09/2026 18:25",N/A,https://www.facebook.com/reel/2268073660686101/,0,0,视频,,,,,内容创建至今,104,99,1,1,0,0,2,2,,,,541.261,5.883,0,0,0
977742881700388,100083940562505,DivebluesOfficial,"We asked people on the street a few game-day questions, and their answers were exactly the kind of fan energy we came for.

Would you pass the street interview?

#PortableFan #crazyfan #GameDay #SoccerFans","We asked people on the street a few game-day questions, and their answers were exactly the kind of fan energy we came for.

Would you pass the street interview?

#PortableFan #crazyfan #GameDay #SoccerFans",36,"06/07/2026 18:35",N/A,https://www.facebook.com/reel/984063557854415/,0,0,视频,,,,,内容创建至今,1785,1328,1,1,0,0,12,6,,6,,11798.377,7.666,0,0,0
975997451874931,100083940562505,DivebluesOfficial,"Street interviews, real fans, and a portable fan that somehow fit every vibe.

 #Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",,0,"06/05/2026 18:27",N/A,https://www.facebook.com/Diveblues/posts/pfbid02CJQkfo41u1UoZFgNm6tykHrKamQZeCeQBEjzjYyFRmNej5vN1utsgY9MURk2fVPol,0,0,照片,,,,,内容创建至今,3051,1707,3,3,0,0,32,10,1,21,,,,,,
974288798712463,100083940562505,DivebluesOfficial,"Whether you're sneaking a live stream during your commute or your yard, the tournament fever is everywhere!

Stay fresh and never miss a single goal! ⚽💨

#MatchDayEverywhere #CommuteInStyle #HomeWatchParty #StayCoolAnywhere #DiveBlues",,0,"06/03/2026 20:16",N/A,https://www.facebook.com/Diveblues/posts/pfbid0CU2DprNM2YnG8KB6gdSvTuLKxidBnCgHBPv5pMMGYuhHrAU64G8X2Rixz2tBsZJAl,0,0,照片,,,,,内容创建至今,64,32,1,1,0,0,1,1,,,,,,,,
974287955379214,100083940562505,DivebluesOfficial,"lol😂, we caught a LeBron James fan.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans","lol😂, we caught a LeBron James fan.

#Diveblues #PortableFan #crazyfan #GameDay #SoccerFans",26,"06/03/2026 20:14",auto,https://www.facebook.com/reel/1534252001449950/,0,0,视频,,,,,内容创建至今,4321,3471,5,5,0,0,22,8,,14,,23760.824,6.44,0,0,0
966410456166964,100083940562505,DivebluesOfficial,,,0,"05/25/2026 19:16",N/A,https://www.facebook.com/Diveblues/posts/pfbid0RN14evYmRrQBwqfsmhug6xRSzsn6bs89SWG72FsiJ8XK6MbZZDW1c22jteNgoYTSl,0,1,照片,,,,,内容创建至今,75,52,1,1,0,0,0,,,,,,,,,
961709123303764,100083940562505,DivebluesOfficial,"See what we got!

#diveblues #sumbervibe #travelessential",,0,"05/20/2026 01:07",N/A,https://www.facebook.com/Diveblues/posts/pfbid0sayFYF6tzd9J4phHhF8Dh9FoPdaxB5kunjwrKXqjJ2jAxAfAfQupLKPMvnigoCA4l,0,0,照片,,,,,内容创建至今,121,77,2,2,0,0,3,2,1,,,,,,,
